,number,phone_no_m,busi_count_1908,busi_count_1909,busi_count_1910,busi_count_1911,busi_count_1912,busi_count_2001,busi_count_2002,busi_count_2003,busi_nunique_1908,busi_nunique_1909,busi_nunique_1910,busi_nunique_1911,busi_nunique_1912,busi_nunique_2001,busi_nunique_2002,busi_nunique_2003,flow_1908,flow_1909,flow_1910,flow_1911,flow_1912,flow_2001,flow_2002,flow_2003,label
193,193,2ec876798d5037859c34cb08c0cdc4070684369acc318085c90a72d4d62c95985885be1b911791ae64f9be0fcd438a84be7d38d4ba52b4755492210a3aec1792,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.3670816421508788,0.0647850036621093,0.1129226684570311,0.0054578781127929,0.0178270339965819,0.0151891708374022,0.0088481903076171,0.034320831298828,0
194,194,1bb29f8e0e537bd461b502ce113eb7b43e58489c66f67a89d69ac9c385c256970f6db052d35cf0ce083b6ddaa5b2d530ceccd7165439ddaf0e37ac7405fc8ae1,,,,,,,,,,,,,,,,,,,,,,,,,0
195,195,5946bc6e38f8ff8fa47a9eebbb59335a4d12b669e5d2ece51428f2865f5768e9b010f4814717acb28ea070ee251fed527894ad9b53db7318bd646b5dae4f48a9,,,21.0,,,,,,,,21.0,,,,,,,,2.2745046615600586,,,,,,1
196,196,31c581be74e3c9d6ec3959bded06b99c660fa4c989bbbca5dffc1f2003bf6cdb22c52d4ba9a09408b178d7464a6fd3fb4b4091c0cc2e58266432d6ebfe5f192c,2.0,,,,12.0,,,,2.0,,,,12.0,,,,0.5215463638305664,,,,1.6426362991333006,,,,1
197,197,d1596159b110c2fdd8a836cf19a5e7febb29e12620dcfab1a2e805585329fba5bbba1b79e47bfeaf87ed4f58258dc11f1f2124cd76a725efdedc61918d928584,165.0,181.0,130.0,145.0,182.0,196.0,127.0,113.0,151.0,173.0,130.0,143.0,166.0,190.0,125.0,112.0,13009.524704933168,9203.329801559448,2928.882472038269,4177.935663223267,5846.033763885498,6126.676620483398,2829.2945852279663,2652.9490842819214,0
198,198,6cd064d8988c60e4b1bee3fed4ff28294a1d0829ce07f57cdc40298830068ff70ec7f6425ad22d084948d3d29afc6f54b43461366676d41930d4235916aa8591,,,,,,,,25.0,,,,,,,,25.0,,,,,,,,8.447622299194336,1
199,199,148c3567c79f3942b248997803efadce2436e9390d91918376346d9e61e4ba64ba07a4cd5b8c1c9dfc4e2f8a008613b19665dbe27950f08a7c5ade5ee49a05ad,287.0,229.0,267.0,259.0,292.0,227.0,226.0,267.0,270.0,205.0,249.0,232.0,287.0,224.0,222.0,254.0,45640.93415927887,45996.53669643402,47425.33382606506,35299.72211074829,48256.68780422211,52314.57841682434,41822.76083374024,54062.59984111786,1
200,200,534f31f22765c66a732139269322113125e47c8c44b2e044af0a8d56653188fea9151b95bbd34c270452059db57905c1e0182525f04d71ae7456f5681a11091b,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0006446838378906,0.0001888275146484,0.0029706954956054,0.0004291534423828,0.0001506805419921,,,0.0006008148193358,1
201,201,70f5fdf9161398f9844b0a7563bfdfc48a3111a8f51ede6a5628cb7a9f199a11499c9edba27fd82bde58977b88b33e88a7e27a253b0b2a6d7dda9f2494659361,,,,,14.0,5.0,4.0,,,,,,14.0,5.0,4.0,,,,,,36.08436965942383,0.6745567321777342,0.6829757690429685,,1
202,202,3805a0ccca298c67f19427c063842d1b11a7e984c6b6b8ff617480eccdc4a6c0b46b0826a4269a94b21564f7e565a5c6597e468283a16827de049f4069518b14,241.0,200.0,322.0,253.0,240.0,246.0,259.0,285.0,227.0,191.0,309.0,239.0,227.0,232.0,250.0,271.0,15953.018879890442,13321.798246383669,13845.404072761536,12215.290287017822,16442.081665039062,27018.032578468323,14050.851265907288,14773.191634178162,1
203,203,b438735728a134db44107e2e2b4ce3bc045592122c847e70b339f08af836437dcf44f4c8cd091ff55c5d9c1517523e4958551ba8c1a9d48709f995bd42b9acd9,,,,,13.0,,,,,,,,13.0,,,,,,,,25.75701332092285,,,,1
204,204,6fbe647477bcf749dc839f1dbcccf30ba41fdeb7e20713dd007b4c6ee670766d1d7daab5e5648867a0b6b9e271ac1b70e36409f138bd190673d3eabacde4e8f3,79.0,79.0,103.0,81.0,90.0,80.0,57.0,64.0,73.0,73.0,93.0,75.0,85.0,77.0,54.0,61.0,979.6541719436646,368.6827325820923,1416.8017120361328,529.9601917266846,1386.393907546997,318.0249557495117,61.924139976501465,273.23285007476807,0
205,205,355a2d159fa116e52e10c64f50349991dbba6ba278c41fab8fcbab6f38383e963d8d5d904e2e24a7e4ee54c19c0132987734725a5a40e5f9c221b9fe129fbec3,,,,,17.0,,,,,,,,17.0,,,,,,,,226.204535484314,,,,1
206,206,44e8d06c156e280db8ed36bc6e471dabab19eea8355f705ca857bea92a22f8f1a4736aa5079281a4c6d5996ff586040c51ac98ead9d3b1f803fdc989d0f0a896,185.0,171.0,175.0,156.0,218.0,159.0,120.0,183.0,185.0,161.0,175.0,156.0,204.0,147.0,120.0,175.0,40903.66794204712,40317.30746269226,33417.10637283325,50690.51590156555,50580.685770988464,41198.23317241669,14887.932313919067,19294.021642684937,0
207,207,f9c7211c513ed0058719c7382075bc4bfb953e4c1021257b5e97f4e3cce860977ac8cd865f1a1f58a88adad063252304f46dbee09350bc739249456a66cc016e,1.0,,34.0,,,,,,1.0,,34.0,,,,,,0.0318641662597653,,158.22928142547607,,,,,,1
208,208,fd1a28efcf12aee18b97fa745acce5d9bb9f686a5a31ca598aa291dec745303a5a8060d5b2c02680ea4b9fe680bcbd598e551f7b0e9771c453956634e7b9b18b,,,,33.0,,,,,,,,33.0,,,,,,,,116.08261489868164,,,,,1
209,209,fe060ea655cdaed473e645a0601b7a4978ba968c89d5dcde1b8d67fe6c338c69e85cdf0d1f4886e49f5e15c378c9211a64f924ba57dffc6ccc059fedd9ac20b2,,,,8.0,,,,,,,,8.0,,,,,,,,141.9356651306152,,,,,1
210,210,883d59bd4f258818fb98e38045b24d2b77b511f1b2ce3a36d3cc100bbb1c8e73ecd6793d3a85ea40aee68272942b9d60a9d2f23cb90b0478e7273c76cd749707,114.0,108.0,84.0,67.0,101.0,101.0,149.0,103.0,107.0,103.0,76.0,61.0,97.0,101.0,128.0,93.0,2486.5160570144653,3280.0457849502563,821.681643486023,782.0947008132936,1655.9368181228638,1766.1990566253662,7699.22182941437,2594.807946205139,0
211,211,5768bb1897ace40cc8a8dbeb986e09f12979dbfe2c819fe85689ecaf6b80ca49d9f147ea684bebf63e921f8202831d7f6ac26fda6bbf1c027add853c4a965495,,3.0,3.0,3.0,2.0,2.0,4.0,4.0,,3.0,3.0,3.0,2.0,2.0,4.0,4.0,,0.8050470352172852,1.6664628982543943,0.5451774597167965,0.6084861755371094,1.422320365905762,3.5132617950439453,1.2636737823486326,0
212,212,f201521cc63a56ea22dfbd7332563bea711e8644b78dd7b0f8e41f79b7d01efbc52c9feb70a1464d92d7bdb498bc0b471b4a29d619a1ec4c26ab4efd7b098a86,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0813741683959959,0.1085920333862304,0.1624431610107421,0.1325693130493163,0.0778226852416991,0.1658926010131833,0.1812829971313476,0.2925510406494139,0
213,213,b8e1274b8e5a2c9c0c2b02c163a2a8303d4555d055fb98c840b283f24983e14242b14ec388251214ff88abe46fc0f3bde28269c2153cf3c1bdb766f19fa68588,,,24.0,,,,,,,,24.0,,,,,,,,181.5726194381714,,,,,,1
214,214,727784510fbc0d8eedb62640a74343e6df2841448b407e12c14a0e0e2f59e2c2d6ac529391721774ec8d6888c36f6f92523e70aec091b7c16ecb4e4550d2b086,,,,,,,,,,,,,,,,,,,,,,,,,0
215,215,c339c929c0a0e3e3c9154e2481496e133061ca25dc64b96873ee1e232f7755170f604c76795afaa966f5f5017cdca951530ac7200faf7660a336f7f634bdad82,103.0,121.0,110.0,119.0,125.0,113.0,79.0,132.0,97.0,113.0,99.0,116.0,125.0,113.0,78.0,131.0,733.2149486541748,1154.884428024292,1089.9541292190552,1618.3468236923218,1823.335090637207,2278.973957061768,519.0928192138672,5676.868589401245,0
216,216,1ec379ed4b3576d339af42ac99d4a5ee6ebcfd7548942007b61d5104e25adb717288cd165745a9c2efd13e951fc5d1c1fb57cec49cd6223e8bf002f63bdfa8c6,,,,,118.0,141.0,78.0,121.0,,,,,118.0,133.0,78.0,118.0,,,,,1086.3675451278689,2545.543797492981,1143.17193031311,2172.1470432281494,0
217,217,b5d548171816c17475dc5b2c824653aa9d001734ee4fd7a7c65ac53813603f6beaf63bb0e4a4b639f9abb074b4751f67bbe31435667df4ab5495a2df12a89332,1.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,,,,0.4311037063598632,0.2757749557495116,0.8916664123535154,1.2973947525024414,0.0485954284667967,,,,1
218,218,2964e3cfd7898176f167b838fb6422cdeb6e365b11c64c05c348b391387c91da1f366b930e7b9ce20176215c13e576d27d1af761a195c27604dde3d3bb294418,199.0,144.0,175.0,191.0,237.0,137.0,99.0,155.0,172.0,142.0,175.0,191.0,230.0,120.0,90.0,136.0,3374.331771850586,8129.951700210571,7348.011978149414,8945.89226436615,9612.849411010742,4273.797445297241,1124.8258771896362,3873.0676832199097,0
219,219,5c001690fb0a03b074d32659c05d34b2e4e7f33a2dadad8b09a3dcc09283bae9a9c8af86300da784adde0deeda1dc49748365af3e93774127dd3258de96ef656,,,4.0,,,,,,,,4.0,,,,,,,,0.0332202911376952,,,,,,1
220,220,279b5823890d1af8035dadb33f6e8471fdc2832e907d1aa00c5f5bf47a7fbf451868c557233c679aa3fad7ba068010c059491a3c9029136a3e14e800cf47239c,,178.0,186.0,157.0,146.0,149.0,112.0,176.0,,178.0,173.0,157.0,142.0,148.0,102.0,166.0,,10950.937607765198,20750.53830909729,10011.60459804535,11928.563312530518,15022.38251399994,2290.36439704895,8854.930429458618,0
221,221,ee0b8f5c32a63e9f0afb8600ee34a3384ab7518b693fa4fcf93f91937a2124adfc76f1b3aac5cf9ec33c564f1628a1ee979f2984dc4d5a6d11759c918e506b9f,,,,,,,,,,,,,,,,,,,,,,,,,0
222,222,8009b1fc633c208d88c6084aee6cde1dca22ec06d4d46ce1d37304e178342940d5df3acbfa645e7da5bc73158d561ffcd45314ce87b4525d88de48f3ef88b24c,97.0,86.0,83.0,,,,,21.0,88.0,82.0,81.0,,,,,21.0,3430.023478507996,3535.209719657898,1001.0654850006104,,,,,0.5121212005615225,1
223,223,bccc866f9ae2a6faa2a38e0e0803d24bf8363da39c815e3e267a37b54f7848fea75e38327d757cfd3333c9b2b1face2758734aca4032b8ba7d48c8446071aba8,,,0.0,,,,,,,,0.0,,,,,,,,0.0608930587768554,,,,,,1
224,224,e0c30eee39aec32d66451c574f3a6b429224feba71ae133137615bd32e41268c927729a72f7e0805b701c399c409c178bcf90ccf3e1cc20ccff3f42bd0ebb8e7,250.0,252.0,287.0,243.0,276.0,210.0,184.0,223.0,238.0,235.0,262.0,232.0,249.0,203.0,172.0,211.0,24917.96880531311,12980.91320323944,18092.20014572144,12234.172883033752,21179.314301490784,12515.21508693695,6364.598616600037,14315.375809669496,0
225,225,85cdb7f2405eb9892434cdbac903124ca92fe0f3f11257e4428afaa3b2685aab27d70d25ffea38a712333608169049e70a423ea0b18e1df0cb78dca73da17a2e,14.0,3.0,2.0,1.0,19.0,2.0,1.0,4.0,14.0,3.0,2.0,1.0,19.0,2.0,1.0,4.0,0.3891849517822259,0.0882310867309569,0.4492368698120116,0.9331741333007812,29.26977634429932,1.016714096069336,0.0151004791259764,0.0227603912353514,0
226,226,7318f4aafc4b3ca76b1fd02d9ddc5af4021176eb91f5213307c051c2555a6f0e40379af2752a45087e18718eb9f1c07a67de594d6bec95e8df475c2062c31531,,,147.0,,,1.0,166.0,84.0,,,128.0,,,1.0,156.0,77.0,,,1273.9526681900024,,,0.0008220672607421,6066.49868106842,465.2744655609131,0
227,227,fb35227526e316a1e60e26b86a9e76495271f14ad4df032c54eceded1180e80e8a6f98a5e4df0137622943485c72a70fa8050976926be8775012d0651ad8929f,30.0,,,20.0,,,,,30.0,,,20.0,,,,,1255.5158519744873,,,22.959145545959476,,,,,1
228,228,8b546971a8d6e834e04e9964e263caf8070201d6214e71126fb45ea19dbe8c8434cedab584645b988451156066deff733c2ce012ea286c339eeb2600ea989b0e,,23.0,,,,,,,,23.0,,,,,,,,116.9421901702881,,,,,,,1
229,229,a3f6286f0e52e108f0adf6729bc9e0518cb426773fcf485a9a40f03e4c9dc88245e7b61571bf590cff3e1904eb77a2d2789020af52e88cabeb5ea3b70f7bcef9,80.0,47.0,95.0,71.0,126.0,116.0,80.0,84.0,75.0,44.0,89.0,66.0,120.0,108.0,70.0,71.0,2366.966796875,489.8823547363281,1075.3308696746826,1236.5783796310425,23937.956211090088,14757.40543460846,10275.595185279844,12453.640160560608,0
230,230,e302832b3162de7384641e27f9c70b661076655ff16dc2dcbf3ab3e9f72052a41bb26f143e3125987281dc70d7b4fe71134fecc5f875e67b3fd1fa40372ed81d,231.0,228.0,215.0,201.0,203.0,202.0,150.0,188.0,225.0,226.0,208.0,188.0,203.0,197.0,147.0,186.0,17245.54950237274,11141.890532493591,11009.28839969635,7155.4904108047485,8996.529335021973,16762.5956659317,2485.2670316696167,9803.348875045776,0
231,231,f19d7f8ac523433a199c0c326fe66725ef190e774f264aa33f9cbf3b05634a08f664dcb24d0b95c07fe75bef85b941e47f975bbc4d6d28c3bf17162f27274c3b,,,,,,,,,,,,,,,,,,,,,,,,,0
232,232,a01c2523569a539180d511dd28fa67fa616ffd865cdc1beea39021261753d4ead8d41769f3ec426c7145b6971a9eb7080e055a58b60bd4ed01cedfa39241fd3c,1.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0912866592407226,0.0560770034790039,0.0649394989013671,0.0066108703613281,0.0066413879394531,0.0129241943359374,0.0194396972656249,0.0680055618286131,0
233,233,4705a94de1c1a3c606f0c94d7f4cda4442f299a187c4521fc0fbdfb0de2dfdd3bf17e962569ab867e04d4a01983d9d35ec47ab47db9f97252d752b5c96674ce7,72.0,77.0,11.0,17.0,,100.0,45.0,96.0,67.0,67.0,11.0,16.0,,79.0,36.0,77.0,928.8531131744386,152.3319320678711,1.643148422241211,7.6279296875,,426.84304428100586,40.64068412780762,1111.1968507766724,0
234,234,68edc8b1c37baf722d74c6d65e7c70066e645c7aead1245a4b4542025a6f39451da777791ac027d89a9443dbea642e397a1b870e8f14c70a3c0c0beadcab57f5,,,,9.0,,,24.0,,,,,9.0,,,24.0,,,,,0.1008100509643549,,,30.538963317871094,,1
235,235,12216200a13a85db08451f1ccbab13e4700cc0ff0a431eed84599f74ad24b3ea248aacdd7d920ed19710f7b628d19803aa6434913657e934c731585b75daaf35,151.0,67.0,223.0,224.0,190.0,194.0,135.0,224.0,147.0,67.0,219.0,221.0,182.0,191.0,132.0,215.0,9867.588528633118,499.9393577575684,8678.5261220932,26315.02451324463,10772.461641311646,13782.857475280762,5062.961163520813,13064.469738006592,1
236,236,1a8f72853b67de8df50726ece5ad7f305fc3bd14c51f753669c464626f539060f24d03cd6f415bc8038d6f06b75615e1b72501865354052ab7b4f2b886de805d,,,24.0,3.0,,,,2.0,,,24.0,3.0,,,,2.0,,,149.33891105651855,0.022442817687988,,,,89.87629795074463,1
237,237,4c30ee2d5c399c5369a393b121fe55365b70b8b64fac70adb5ea7233e0f778e15703faf14a42fe53efe3edf925ae2a987f6f2479de471b9b07f9869875e5436f,24.0,47.0,54.0,37.0,,37.0,34.0,39.0,24.0,43.0,49.0,37.0,,33.0,32.0,34.0,3.061910629272461,65.65719318389893,107.02805233001708,46.6648416519165,,23.205411911010746,46.54074573516846,66.46189022064209,0
238,238,fafd51c0340799a7d80e8bc10d039995b72f2a27c11a263f0097af786c8ed167d098ac9a896a1d1962cdcb220a34e43f8b914bedc6943a1c87ba2889b0afda19,186.0,144.0,,,,,,,164.0,133.0,,,,,,,6342.10880279541,4521.080879211426,,,,,,,0
239,239,826ecc5e5805f5ff71d9b5c877396eb9abf8bfc6f5057d4bbd40018d16c8559f1273f15b51263348cbaada6c3939a4a88839e18d87b08048176d6fa4fe81dc97,137.0,141.0,62.0,154.0,117.0,129.0,99.0,110.0,116.0,125.0,62.0,147.0,104.0,120.0,99.0,106.0,1981.819437980652,1268.1788682937622,53.80706024169922,1517.2670354843142,855.3182373046875,1471.0109748840332,1814.4348249435425,1252.311574935913,0
240,240,3baeedbeb9076109b81817ca1ec34cd3aa97db824acff39fc1658ee544dadc58a69a136232dd5c1dab3266af0b2e6c53b62fbb2d4298881d57a0d59ecefa61df,,,,,,,,,,,,,,,,,,,,,,,,,1
241,241,247715b8a7f0bdda08e08957a5c12d153555bbc7e678346a562b66ae3f3c80650144aa946e27d2a22000de561a07e0f2f1275b49fc8e4b2d1244b1da6186d0d4,2.0,8.0,4.0,4.0,5.0,65.0,4.0,44.0,2.0,8.0,4.0,4.0,5.0,57.0,4.0,38.0,0.0424547195434568,0.1576271057128904,0.4441194534301756,2.764102935791015,3.164883613586426,495.5910654067993,1.925631523132324,296.50939559936523,0
242,242,bbbc44a91232b91cf4de22260d34bfd25727f537f777e86f5005be9ec409dfe7c4c6f030362604bfdea1f3c7d2414b4ebf8a6226ac146448971968914709b77f,,,,,,,,,,,,,,,,,,,,,,,,,1
243,243,504ad551c4a2c1e75129444773f79ef6c9ce257115646945cb7f51040a078ce5a4dee507b557602b955ffdc8e73fb60f4796156278dcdcf70643e38293887741,,,,,2.0,,1.0,0.0,,,,,2.0,,1.0,0.0,,,,,1.9637746810913088,,0.0230712890625,0.0032882690429687,0
244,244,2753229449b9915eddc1d62d93beae12887151dd00a69a426cb1f7fb4b3a3c980269a52b1743c7da2a1d894c91b682d9188320d5a4fa2866d0dbdc3c9896f650,174.0,216.0,189.0,199.0,180.0,153.0,150.0,172.0,166.0,196.0,184.0,182.0,168.0,151.0,149.0,168.0,2013.3192434310915,5409.948125839233,3099.077864646912,2858.3980646133423,2953.581787109375,3060.337839126587,5006.141859054565,4088.326137542725,0
245,245,7cf4dfc7514035674168fadfec021eee935b9b981fa70f35ec66c6f5b8523c97ffe0799bf5a03190a9d0bae0fdd96f7b5328e9d9a975aef5b921ba5b5ce742de,202.0,101.0,134.0,101.0,,,,,196.0,101.0,131.0,101.0,,,,,17842.231840133667,6109.977126121521,8113.091825485229,3516.791175842285,,,,,1
246,246,b23f6b72df0b82061badd9de543306fd124e970086057699567a0d0c4075b10a2fe30722848c91901b11e826e26cc155a1ab2d71e347a4a2b4601d91fb322e78,284.0,222.0,248.0,231.0,182.0,,,157.0,267.0,222.0,239.0,229.0,175.0,,,151.0,27075.411004066467,15613.266306877136,16623.909342765808,24128.364336013798,13300.70128440857,,,8917.184846878052,1
247,247,574c206454b65f2b72436d335da24f95f676643c361163a01b11f5cf04cd343ec1a21f48efa1344e44b801e945911759b947db94a24a1ac703eb079bbcf2232c,7.0,7.0,4.0,3.0,44.0,56.0,2.0,2.0,7.0,7.0,4.0,3.0,38.0,50.0,2.0,2.0,1.4057588577270503,1.5893182754516602,0.5285120010375975,0.5290184020996092,42.47831439971924,55.04252243041992,0.0953931808471679,1.6407184600830076,0
248,248,e99d2e5cc4c02844761115266357a02c5d0f148644f8c4483956d35bc7731acc8020b87aa839ec70dd40eb76beafaa2e4f2dc6d2c0bbfc6195844a173c259c56,150.0,157.0,218.0,150.0,138.0,130.0,145.0,175.0,150.0,152.0,218.0,150.0,125.0,126.0,136.0,164.0,28457.82053089141,30315.94879722595,30186.815873146057,13061.040778160095,5861.15256023407,9750.68662929535,17501.99545764923,23017.461148262024,0
249,249,425ff68c9d2152aec69d5aaa861e97cf626bc10b37645220893ae03130b43b0c76679db7ab5c6c834072b819b0dee8edf895854302366b7cbcdc613ee3c23871,122.0,106.0,91.0,89.0,100.0,90.0,67.0,124.0,110.0,100.0,86.0,81.0,92.0,74.0,58.0,110.0,6150.043991088867,7422.058761596681,7103.363278388977,5646.317723274231,4967.971113204956,2274.508875846863,594.179328918457,2226.854558944702,0
250,250,c723389a0603642966058e2a7f7eb27b6a7ed08b8c5d20aac005d9e3b77bf53df703621e79623fd5e2507cee018b04c40438d090afd2347f9d291b6e4caa47b1,155.0,157.0,132.0,137.0,159.0,141.0,155.0,152.0,136.0,144.0,119.0,124.0,145.0,126.0,135.0,133.0,26194.45009326936,50677.2486371994,35288.23771572113,32695.18763160706,42157.564909935,23478.427726745605,27636.94755935669,16366.732175827026,0
251,251,b792d6fcb1ea36c4ce3f174757c328768946e90f035629b70aa9769a8efa10ff977e8d05e776c3e874bf2c0fd93500d50f86f913892d36eca83f7ec880724bd1,,,,,,,,,,,,,,,,,,,,,,,,,1
252,252,dbf7e92a6350c9f549aa73350b5f7939841aa3abbe951372a98a9d2ad14ff10945248a2a9e76db098be20369a16d9e54a582b7dd4cadd963fcc41af64c353e59,,,,23.0,,,,,,,,23.0,,,,,,,,2.554788589477538,,,,,1
253,253,dc3c03acbe2023e1c1c5264b97e235219695e113e7d69dd928dc79dbef5e06d23bd19116420bf1959de1261218ccee806be01f8e7541e282356c4a4e24ceb514,1.0,19.0,89.0,125.0,117.0,7.0,1.0,4.0,1.0,19.0,88.0,117.0,116.0,7.0,1.0,4.0,2.0653638839721684,94.92291927337648,565.2690305709839,2324.7806482315063,2157.102572441101,8.275789260864258,0.7149620056152344,2.217532157897949,0
254,254,ac99684c6fb6e5ba27df7cde5db29f59fcbab640aaca30264b1b02e49fd6b5b4bd6eec97ce45cf4b1f3e031bade81f882120b75d95bc647d3e958f9e9443dacc,159.0,191.0,164.0,141.0,151.0,145.0,137.0,139.0,149.0,175.0,164.0,139.0,149.0,144.0,136.0,129.0,17428.628211021423,16920.83409690857,19966.24029827118,15297.337718009949,13776.472932815552,21569.925505638123,23770.464866638184,22561.014070510864,1
255,255,1dadd5f559f2f4c0848ff4e31289a7d221718fc4215539d35264e7ebbfedff144a0c24345490e4b5e3f258d79e4fa9ef74f5c8690c71b4b19caba14b370d851a,,,,,,,,,,,,,,,,,,,,,,,,,0
256,256,e76c169d8bc2736b8ab3d2083adfff0690d3380b660a10ed8b506bebb05c2b06061a77489ab494d8e74fedeec0fd750a667858af34d0dd03aeb70baf6a04bacb,,,,25.0,,,,,,,,25.0,,,,,,,,93.78244018554688,,,,,1
257,257,1e2e7041acc15524e7225feb9d08828fac1b55a6e3a063bc04c08fa3b58703a50369ab3459889aff9b8cf3209216ac02a845221df651c681fb04f86484408319,,,,,,,,,,,,,,,,,,,,,,,,,1
258,258,2b06266c22f84c1c0ddb60e791ce2213406f58138fc4d1c1c438ebfeaf88e3816c4dda9c86152c183408fe32df86fa4c9c10edd00421c1cb6706fbe06de1bfd0,283.0,245.0,232.0,207.0,241.0,243.0,215.0,,250.0,225.0,215.0,188.0,220.0,242.0,213.0,,19281.32914352417,31957.84237575531,27931.0771818161,19343.24579334259,24703.288687705997,36444.44435596466,35493.32530784607,,1
259,259,195525ef2cb461bf058a343999f05d0e35522dd0294cff84924c08c58c4c8614ee87f5c84762dec9aab02c6186a854b5894cf481a649b400563f770158bb97bd,60.0,58.0,67.0,66.0,168.0,128.0,65.0,70.0,57.0,55.0,63.0,61.0,159.0,119.0,64.0,67.0,283.2949247360229,797.8984451293945,671.5357046127319,808.0812969207764,1004.685935974121,1103.8227787017822,948.4189624786376,837.2923221588135,0
260,260,5357c5fae59be0c68add5a17a5a5d2478d9ff5250550c2eafa769c2ffa711fcff8bc87f5a34cd2fd1da4b196c1bf7460809d0bf14201fb270bc2b839f3133b7c,213.0,152.0,136.0,130.0,154.0,174.0,182.0,160.0,202.0,150.0,136.0,130.0,143.0,167.0,177.0,155.0,16046.474381446838,12084.9406375885,15190.563733100891,12390.084480285645,14543.974590301514,12430.744868278503,12694.43382358551,18374.151564598083,0
261,261,66fee5cabb9c2467d69b766b93a83746e611ddbd5689937f48a40f705fd3cbe4afaa4cf224d83ecadd5e654f06e49d20157e028dc3e24b27fe426e13cfb71765,2.0,44.0,104.0,83.0,,102.0,68.0,102.0,2.0,42.0,102.0,78.0,,96.0,63.0,97.0,0.0055837631225585,321.3753499984741,8516.00103855133,670.5945043563843,,5132.1833238601685,2431.0731449127197,10083.910328865051,0
262,262,7033b5c4fc039b391a01318c89449b1844af382e0a07b1a71d5843977b71d2d9a8aef40dea910baf02dcebba9603b3f9eaaaaa8a32f2c1e8b481bb38d14025ac,,,,,112.0,98.0,79.0,142.0,,,,,107.0,93.0,70.0,117.0,,,,,2849.855525970459,1239.3344898223877,2211.353846549988,2901.854712486267,0
263,263,063d2df61a002df0ac884524b1e919e1f9591ce756dc953824c80c30133a921323bb5adebe90acdaa1bd865d9da9d756d46b42e38bcd6d0b938f0795713f7bee,11.0,20.0,24.0,5.0,19.0,4.0,5.0,3.0,9.0,20.0,24.0,5.0,19.0,4.0,5.0,3.0,2.0825672149658203,2.007855415344238,2.357378005981445,2.499340057373047,4.618866920471191,1.6068906784057615,0.5709533691406249,0.2921953201293945,0
264,264,05b14594c2dfe7cecbf8b8e87220e92b8e7d7cfd81a9483262eea5d3347a314a154ab2902a7becb8b7657ef6171a9a6c095f2529e17eaced79c1b3f87ffb9dff,297.0,253.0,314.0,244.0,211.0,279.0,172.0,134.0,286.0,253.0,292.0,218.0,192.0,251.0,168.0,129.0,35740.121002197266,20106.982550621036,49069.39741039276,17181.180186271667,7875.606504440308,17255.847208976746,10659.00278377533,12944.73114013672,1
265,265,ecd36caba0b43bb41d1c5fed73dc10a9068fcc727c74ecce8ebff7ae8d600315f0cec44f469bd6c7a7960746f4e6833cc4cbc7f0f54688e7659c59bb77bf5fca,0.0,4.0,5.0,26.0,93.0,2.0,,,0.0,4.0,5.0,26.0,93.0,2.0,,,0.0014801025390625,0.1228666305541991,0.2159938812255857,152.07521629333496,2715.2651233673096,0.0107069015502929,,,0
266,266,8e577565a2b90abbbc3fe243a3882d2079ce95a811cdf7233c08f6e0ba7402c926d88a364b851c1fac921ff5f48c8e16dc904fca68ecc3890c2b6a9ad61a3d7c,138.0,142.0,149.0,130.0,134.0,151.0,105.0,102.0,131.0,139.0,145.0,125.0,130.0,131.0,105.0,102.0,8121.849862098695,9327.687779426577,9643.400987625122,7061.564587593079,9573.82283115387,9412.720105171204,7891.740859985352,7602.634345054626,0
267,267,d29e7ea3fc96708150553d70cb8dd5e0ca75158e97ba75764fec68d7cfcc42200ccc3b89de654eabdbe6662b1dedd952d94e28a303977afcd3b8d5ad4b612094,,,31.0,,,,,,,,31.0,,,,,,,,27.31246376037598,,,,,,1
268,268,44c18f64e539ff65c56fb36bcf07f6ba8f9bbe8fa0f120787a18af4fe175d0b9f239b074ba5f7cdc81045e1f8b010f008701a6d8823eed26df90ac902862293d,,,,,4.0,94.0,4.0,7.0,,,,,4.0,82.0,4.0,7.0,,,,,20.76081752777099,571.9286165237426,0.3759279251098631,1.4198160171508785,0
269,269,05fc7007737b017038133418e1fc0071525ee4bc84c9c4f9342784fbc25cda4310d4edb217f6447880839028efe304b171731cdfbce214235a16c56528465152,15.0,3.0,2.0,1.0,1.0,3.0,2.0,104.0,15.0,3.0,2.0,1.0,1.0,3.0,2.0,88.0,43.79392814636231,0.3118038177490232,0.2620859146118162,0.3203268051147461,0.0653858184814452,0.0712127685546872,0.0788173675537109,3607.688720703125,0
270,270,782818f4e98979159f902b6dcabe980b2f0d53b6387505604421aedb8410a92284edaa84ccf5d5a0fe6323315bac05dc06f5c822223ff1a18c6cc34f8ecfa2ee,,,,,,,,,,,,,,,,,,,,,,,,,0
