number,Unnamed: 0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,label
170,170,-32,2548,6477,-897,1838,1815,-1938,1594,3557,-590,1358,-838,2278,31,1880,991,2507,677,-1245,247,682,3210,109,0
171,171,5475,4588,3866,7382,2665,6552,3984,5235,5012,5495,4895,4190,5980,4797,4321,5035,5134,6328,4104,4750,5462,3818,4985,0
172,172,-11065,-11203,-5767,-9425,-7645,-10265,-10672,-12590,-8519,-7912,-8056,-8855,-11671,-12497,-3596,-9888,-11858,-6700,-11526,-7079,-8885,-12424,-7349,0
173,173,4943,3278,2231,0,2227,1341,-1984,489,3660,-1508,3347,1203,-3873,4741,-515,4089,-3528,3038,551,2983,-1822,791,1264,0
174,174,8757,13274,6752,9806,11574,10065,9848,7878,11442,10355,11137,9207,9296,10348,10513,9711,11809,8059,11168,10412,10788,8861,9505,0
175,175,-1434,-2841,-3433,-2824,-2104,-3014,-1804,-942,-3096,-1721,-3402,-1938,-3727,-3963,64,-2011,-5031,-2083,-534,-3702,-1573,-1065,-3865,0
176,176,-9400,-7902,-5549,-8738,-9500,-12225,-9209,-7046,-9171,-3931,-15147,-9862,-4903,-10173,-9587,-7905,-11117,-8193,-9753,-4793,-10711,-10535,-10825,1
177,177,-4441,220,-2206,1148,-6496,3553,-833,-1039,-5085,707,-3756,-654,-913,-3156,-2040,-509,-1757,-3321,-1068,1630,-1885,-3173,-612,0
178,178,19331,6827,10517,6145,14960,7625,14862,3567,14005,-896,14779,9490,14738,-2089,15843,14636,3826,20387,5016,9779,7739,10068,13593,1
179,179,3806,3250,-3141,-918,-7375,-7836,12956,748,2947,4251,-4776,5320,1879,550,3239,-3710,3387,-1844,881,-504,-481,2256,-1068,1
180,180,3946,4619,3004,7430,911,8969,1802,2372,4692,2235,6249,4265,4361,4777,2184,5055,4608,-499,7771,7233,1955,-2680,2809,1
181,181,5828,667,-2643,-1038,5792,-4596,10083,-1845,-3741,-1417,2512,1407,2768,-6720,3407,10716,-5893,9313,-2738,-574,-5905,9030,341,1
182,182,-16459,-8219,-14021,-13087,-13053,-12411,-11848,-13110,-14626,-14331,-11243,-11721,-14573,-13126,-12495,-11587,-13186,-13279,-14334,-11240,-13680,-12737,-12882,0
183,183,-4311,3104,-3862,3046,2479,-4184,3889,-4646,6041,-4858,3010,-2170,-301,949,992,-397,1354,771,-3333,748,4555,-4526,1310,0
184,184,-4391,2677,-1034,-3860,-1714,54,-1514,249,-3573,1809,-1790,-1054,-1740,-1663,-1218,-177,-1403,-694,-1628,2778,766,-4578,-545,1
185,185,-7429,-1776,-7782,-6127,-7800,-5244,-6378,-5583,-6966,-6630,-7530,-6455,-6700,-5788,-7279,-6843,-4339,-5837,-7847,-7129,-4549,-7827,-4524,0
186,186,-4697,-821,-2620,330,-3817,-3851,-684,-2020,-3538,25,-3110,-1565,-2927,-2045,-1361,-4744,975,-3022,-3830,-588,-2100,-1721,-3513,0
187,187,-1134,-545,-3565,-204,-1274,374,-2906,-2238,688,-1640,-2001,-2045,-2715,2067,-467,-2921,-1164,-1492,-1270,-1210,-1228,-2211,515,0
188,188,1806,4218,4937,4153,1018,5045,2472,3904,4856,-519,6943,3337,4087,-3173,7790,5327,2008,2474,5318,3464,1595,4669,1376,0
189,189,865,-7044,1094,-398,-2973,-1124,-423,-3987,-1065,-2819,980,-2120,-1314,-4523,389,-4041,1379,-3035,-1387,-2628,-212,-1981,-2951,0
190,190,-7182,-6617,-2960,-3050,-1169,-5859,-612,-712,-4210,-575,-4146,-2157,274,-5003,-1851,-3057,-2471,-3727,167,-4107,-2070,-3242,-15,0
191,191,-4724,-8157,-5787,-13081,-4909,-5358,-6579,-8041,-8791,-3716,-11044,-7503,-6405,-9490,-4949,-5574,-10185,-7503,-6934,-5685,-8140,-11021,-248,0
192,192,-2,-7652,-12142,199,-5984,-15308,-3695,-4317,-13181,-6002,-8897,-3758,-9079,-6814,-1988,-5708,-11989,-7063,-8752,-8596,-4531,-8534,-8870,1
193,193,3586,1848,2311,4545,734,2759,4319,-372,4032,1702,4075,129,4303,2161,4334,1876,2819,1290,4642,1177,4799,1465,2535,0
194,194,-535,-2348,1861,-230,-842,2096,2728,-594,2117,2232,2107,277,-269,6372,-5049,1008,2714,-531,2567,-1475,1616,2148,2745,0
195,195,-10156,1165,-1627,-8040,-1311,-1842,-5436,-3233,1220,-5502,-7033,2313,-4569,-4445,-5167,-2030,-31,-4379,-4555,-6612,-506,-3886,-626,1
196,196,-6839,-8295,-6487,-7998,-7085,-7056,-7528,-7439,-7579,-7759,-6671,-8016,-6465,-8445,-6388,-7494,-7696,-7065,-7531,-6121,-8006,-7379,-7038,0
197,197,-3295,-3305,-3108,-2086,2283,-1366,-2859,-4226,4137,-5439,488,958,-1009,-5566,-2191,-1537,1399,3398,-6123,-2556,-4778,3957,398,1
198,198,1729,-1014,-3879,-458,6744,-352,-1111,-441,2123,1235,-3516,-1555,5917,4172,-860,-1856,-1298,-1518,1206,1683,-704,1210,1541,0
199,199,-8317,-10704,-9491,-10272,-7146,-10721,-11702,-7676,-12242,-8074,-9150,-10701,-7367,-10832,-11891,-4236,-10007,-9187,-7195,-12589,-11375,-6567,-11253,1
200,200,-4192,-249,-5502,2391,-281,-2156,3298,-2060,-589,868,2440,-2178,-2493,335,-3910,-170,-811,252,-1532,1342,-1269,-2494,-811,0
201,201,-4060,-2409,-5003,-852,-5078,-1934,-2190,-3574,-3556,-2749,-1442,-5426,-1400,-4741,-385,-4291,-3330,-554,-4124,-4328,-3246,-1932,-3073,0
202,202,-9558,-7615,-8810,-8587,-9264,-8482,-7840,-7796,-9480,-10390,-5887,-11322,-7766,-10208,-5213,-10476,-7515,-9349,-10111,-8642,-6643,-10374,-9092,0
203,203,3031,5650,-423,5478,4389,-4023,3405,5345,-1414,3016,3024,950,5266,-1719,4651,2295,1220,4815,438,3222,1335,2112,568,0
204,204,-1638,-476,10377,-10265,-3625,6898,-1657,-108,1744,5924,-5421,657,-6730,7964,-165,1936,-5426,-3468,716,6616,-1314,-3178,1937,0
205,205,-16436,-14089,-13463,-13971,-12395,-14741,-13324,-12440,-13707,-13124,-12852,-14507,-12207,-14364,-12857,-13779,-13641,-12750,-12756,-14165,-13099,-13551,-12983,0
206,206,-579,-412,-70,-1392,131,564,-381,-561,-715,83,-2313,160,1127,-425,-221,-912,1869,-1489,-753,2497,-3629,-2219,3180,0
207,207,-11495,-2639,4108,-6428,-3471,4379,-5565,-6502,-189,-4301,-6331,549,-1920,-3285,2570,-7780,-4413,-2628,707,-7496,-4137,-1753,239,1
208,208,1232,3141,-826,4759,-698,-2044,831,3072,2513,-578,4601,-500,-418,1802,1602,5392,-2676,-2875,-3017,2635,2279,5542,-1687,0
209,209,-8167,-3875,-5927,-5507,-5985,-6228,-1338,-3936,-9491,-5171,-3308,-6018,-5687,-5766,-4422,-4793,-6715,-4205,-5346,-4215,-3963,-6408,-421,1
210,210,2343,10567,2799,3758,5134,4609,5252,5885,4908,5365,4749,6598,2171,3608,7883,1934,4486,8279,3536,4187,4153,9983,2346,0
211,211,3843,-6139,8642,-6928,2464,-176,6041,-1493,1801,-4578,-479,5953,-6506,3748,589,3335,-526,-3198,3688,-3515,4577,-5169,2248,0
212,212,-13381,-14417,-11551,-14563,-13937,-13423,-15296,-11408,-12487,-13981,-13407,-12648,-15216,-16304,-13281,-13150,-12967,-12980,-13732,-13520,-11954,-14482,-13514,0
213,213,-7411,-7004,-2300,-5937,-6232,-4808,-2306,-6602,-4306,-5622,-7704,-2193,-6105,-4837,-3586,-5782,-3179,-6726,-4912,-3875,-7795,-3556,-5820,0
214,214,-1165,-3772,-1945,1210,-1125,-1626,-797,-1187,-2151,-1081,-602,-2307,156,-3829,-630,-3078,-604,-451,2760,-2890,-3560,772,-2412,0
215,215,350,-1126,760,-2021,-1426,-154,-371,-2992,1320,-921,-1663,200,-1073,-721,12,-1888,104,-869,-1350,-563,-165,-1806,674,0
216,216,8898,8713,12704,7168,9729,13078,6683,9680,11261,9533,9887,10838,10510,10947,12708,7209,9262,11767,12954,6480,5587,13547,11059,0
217,217,-3478,1064,-773,-375,-5998,3160,2124,-1160,-2586,122,-2357,-788,-498,-1987,-575,-238,-1468,-637,-1746,578,1421,-3697,-865,0
218,218,-334,604,34,149,717,-12,-222,1150,-652,311,-181,1483,-490,-494,25,657,-286,1291,-1311,-444,404,1963,1496,0
219,219,-8580,74,-8468,-6569,-3764,-8585,-6680,-2791,-6373,-7008,-2693,-5077,-10535,-4160,-4255,-10182,-4359,-4011,-6056,-9041,-4570,-1391,-8528,0
220,220,-3816,765,105,-1865,-2931,-5375,793,-1448,-4048,1022,775,-3180,-1807,-3602,-2337,2838,-3245,-1623,3846,-7620,-1144,-539,-2317,0
221,221,-6122,3025,-6118,2932,3364,-7690,1094,-1493,-10,202,-5939,1122,-2126,461,-6236,1029,-5070,2963,11611,-10597,-4512,112,-7875,0
222,222,13003,9078,9318,8944,11743,8377,11571,9065,8529,13847,11568,7958,7986,10044,9796,12830,7796,10736,9449,6841,13514,11696,7253,0
223,223,-5418,-2616,-5301,-3951,-2576,-2050,-2013,-4588,-4235,-3236,-3299,-2921,-3034,-2368,-4103,-4687,-2673,-1302,-4911,-2572,-1494,-2432,-4295,0
224,224,308,-219,-2452,-271,200,-1970,717,148,-1760,-499,-1282,19,-912,-2393,1173,-352,-2057,-394,1127,-2150,-264,952,-881,0
225,225,-837,-3776,1888,-18896,14974,-3917,12072,-7009,-7953,2447,-7013,695,-5086,-5398,5649,-1413,-6083,97,-7515,4634,4140,591,-17920,1
226,226,-9948,-8769,-9895,-9078,-8925,-9342,-8548,-9991,-9465,-8754,-10108,-9798,-8548,-9514,-8520,-8845,-8472,-11649,-9063,-8889,-9250,-8686,-10637,0
227,227,-2258,-2771,-2172,1551,1207,-1516,-1507,-2798,3307,-3423,-111,1326,915,-4794,-1279,-788,2055,3300,-6426,66,-4745,4108,1757,1
228,228,-5189,-1766,403,-4595,-3939,-4243,-1348,-1618,-6595,-1053,-157,-6233,-3020,-1988,-3274,-1295,-3929,-3135,-320,-4124,-3822,-1070,-3984,0
229,229,-8170,8378,-6481,-3939,-10677,-9796,-18876,4347,-2044,643,6364,7188,1704,-1820,-8597,-2975,-768,368,1631,-16431,-7872,-310,-12193,0
230,230,-3299,2427,-2900,5493,-9926,7953,1596,-6223,3358,-11163,794,4400,-6942,1490,100,-910,-5163,-7202,4546,6415,-6355,-5974,4160,1
231,231,-29,-1669,1762,-136,-1163,-1901,644,-239,-537,-93,213,-437,-550,330,-1080,-682,-1128,1243,-1956,-78,-767,79,-1318,0
232,232,-1975,3225,2823,3034,2625,1969,1588,-271,2868,1727,-78,4174,1168,2805,-1586,1673,3463,-284,-2505,3418,4218,-836,1004,0
233,233,3765,5518,7514,4119,4283,2422,6573,6732,1300,7355,8069,1877,5335,4722,5112,6408,4620,4325,7388,3895,3962,8120,3248,0
234,234,4546,3355,3150,3897,1317,5422,4175,3209,3818,1483,4010,6286,367,3662,5856,1048,3315,4876,2650,3068,5287,2383,3244,0
235,235,-7150,-6692,-3404,-8202,-2167,-10649,-8345,-9471,-4202,-8013,-3535,-3953,-8450,-12100,-1180,-7281,-7548,-4968,-7729,-4375,-5342,-7576,-6574,0
236,236,-4707,-8225,-3797,-6180,-6369,-5984,-6658,-4777,-6338,-7238,-5564,-5603,-5653,-7151,-4759,-6899,-6050,-5080,-6936,-5810,-4836,-7197,-6111,0
237,237,-1649,-958,718,-2752,-2095,1168,668,-3095,-316,-2537,-65,-734,-2379,42,-2514,445,-1182,-581,-1862,658,-1922,-1641,-2373,0
238,238,-1252,-7779,3535,-1173,-5299,819,-433,-8665,5316,-4112,353,-6055,-3777,-1296,5899,-1782,-9011,1011,-4365,2782,-2893,-2067,-6355,1
239,239,-15030,-16476,-9195,-14848,-13510,-10299,-14485,-14399,-11643,-11589,-8103,-21456,-10306,-18276,-9980,-10884,-13301,-9114,-17928,-10737,-11978,-15643,-12708,0
240,240,-2510,2360,-1199,-249,-869,-287,542,142,-2487,-1226,1324,30,-1080,-1269,56,864,-828,-573,-1460,1048,-1313,-138,-430,0
241,241,3086,-2381,5921,-241,554,1695,-217,3659,3049,-60,793,2261,1303,-2940,2674,1190,4725,654,1459,1822,4760,-2873,1761,0
242,242,-3920,-1826,1776,-2970,-6328,3335,-1130,-3461,-508,-4306,3164,-6766,-4,-1710,-1324,-946,185,-2241,-1584,-3199,-1492,-2752,-1547,0
243,243,-1650,-3193,-3470,-3184,28,-636,-7145,-247,-1897,-3388,1265,-4395,-4612,-4627,-1769,-2916,-2625,-1749,-365,-4405,-1140,-4395,-1688,0
244,244,12137,13527,5375,11044,10762,9565,10988,9692,9091,10413,11439,7353,11425,9129,12054,8713,10879,11307,4194,12484,12950,9694,8402,0
245,245,-5599,-1650,-2310,-9484,-3705,-3171,-4177,-7986,-2570,-5733,-3441,-3620,-4770,-3380,-8110,-947,-6403,-4293,-2217,-7855,-5258,-1209,-4685,0
246,246,2184,-2508,2300,-630,-1132,-831,-171,-1892,799,-1520,767,-622,-2128,-3061,652,736,-1646,1677,-2409,484,-1536,22,-2046,0
247,247,-12751,-13582,-14327,-12923,-13601,-12673,-13550,-13355,-15234,-13455,-13961,-12709,-12577,-12642,-14584,-14609,-11860,-15097,-13546,-13407,-14290,-14968,-11064,0
248,248,-8698,2587,-9384,-3763,-5019,-560,-5129,-5955,-2404,-3763,-7213,-4531,-1658,-8907,2324,-2933,-6957,1756,-6807,-4457,-2212,-8911,157,1
249,249,-1432,-4640,-3651,1489,-3800,-4891,-3211,-4582,4359,-712,-10982,3601,-7356,454,-5934,-245,-2833,-11473,8186,-8100,-6281,251,-933,1
250,250,-10121,-8695,-9072,-9394,-8881,-9236,-8165,-10145,-10373,-5879,-11568,-9168,-8859,-8468,-9850,-9409,-7574,-9694,-9831,-9000,-7936,-10538,-11006,0
251,251,-8516,-8021,-8306,-4913,-10597,-6155,-9434,-6555,-8242,-8353,-7279,-8534,-7079,-8841,-8160,-7786,-7754,-7136,-8393,-7430,-7880,-9488,-7936,0
252,252,-5865,-2134,-12851,307,-9619,-7030,-4292,-2422,-11740,-5853,-3071,-8158,-7634,-3781,-5522,-4981,-8900,-1786,-9667,-6369,-8468,-3119,-5485,0
253,253,4266,2518,-469,1893,-4651,9674,-1223,2478,1961,1964,-968,-770,3373,3976,1511,-4042,8495,-1759,3594,1149,-4050,6865,-1290,0
254,254,14559,-10497,11712,9403,-1767,6296,13014,-5671,3545,6929,9988,1940,5759,3501,11489,-6480,11344,5845,1407,5807,16026,-3978,-106,0
255,255,2590,-178,-4069,765,1917,-3196,-5848,701,-2139,169,-2920,-1462,-818,18,-9830,2721,-632,4815,-1948,-4658,3167,-1354,-3649,0
256,256,-1413,-883,107,-3776,2533,-2153,652,-2030,-1200,-1160,1069,-2131,1205,-700,-436,-2355,-1184,1840,-584,-494,-3039,-892,-183,0
257,257,-8241,9424,-9020,10325,6534,-10759,4662,15951,995,6251,96,15495,23546,19150,7461,15023,7221,5651,4963,-9010,1912,-6383,-18799,0
258,258,-2021,3515,5794,10208,9567,5934,7391,-5745,18572,6709,9592,7705,-3970,9419,8442,10024,2089,7991,12418,5703,12497,-5029,16289,1
259,259,-3749,10166,-133,-4761,8852,-1777,-4089,16321,-12859,5106,2072,-382,6628,997,-16472,7408,4571,4329,11299,-15449,12706,-1515,9802,1
260,260,3967,1049,-51,3596,2589,1917,2661,1779,2564,2240,2071,4192,-684,3276,2641,1292,86,4719,2567,579,3067,2229,2112,0
261,261,1074,-2445,-6838,7093,-4645,-1421,251,2556,-322,-2372,-8612,5916,-1970,-4225,-306,-44,-5971,-1316,1904,-115,-1224,-1278,-7240,1
262,262,1559,293,1198,-5597,2910,-2119,1785,-49,-688,708,-2331,1242,-2340,-1763,184,-578,1173,-525,-1429,1378,-1108,-792,382,0
263,263,-1938,1642,-2038,-1053,-20,-1203,-31,-509,-769,-1497,-491,1662,-2691,-1114,-558,-1291,-249,589,-2376,117,-267,-1195,-149,0
264,264,-9432,-10073,-9451,-4643,-10563,-12357,-9520,-8697,-8629,-8487,-5856,-11220,-9829,-12270,-8458,-8096,-9538,-6378,-10261,-11219,-7779,-10916,-6669,0
265,265,-3388,-5026,6148,-10286,8705,-10265,4045,-20079,25050,-7949,-6033,8437,-2198,-5219,19158,-27036,10068,-7343,2930,-2834,-20037,23871,-26188,1
266,266,12756,19701,14682,-6206,4561,11355,13013,17259,298,11682,17755,7938,3511,12562,11068,8291,7064,10193,10431,12502,9779,5144,14083,1
267,267,54,-2345,385,-2696,1352,-1503,173,-1340,-997,316,-3828,163,1239,536,-2467,-2288,2868,-1485,-263,-1508,-2324,1882,-1586,0
268,268,-5095,747,-1677,-6590,-3487,-1228,-1978,-6856,-1770,-4092,-2663,-1497,-2982,-1897,-5963,-277,-4872,-3959,703,-5454,-3747,-300,-3236,0
269,269,-3733,-1820,-1911,-1797,-4497,-3065,-804,-644,-8020,2518,-5032,-3565,1201,-2968,-1112,-2022,-6053,-2948,-5814,-727,-1647,-6019,-1281,1
270,270,-1157,-412,-2063,2764,-2414,-709,-1077,13,-2085,918,-818,-922,-1013,-634,-561,-1648,502,-490,-1613,-239,-421,-667,-1369,0
271,271,-1515,-1748,-682,-696,3384,1159,-2875,-441,3297,-2611,2823,1626,820,-2848,-750,525,2820,4853,-4535,236,-2530,4664,3700,1
272,272,-2821,1592,4857,451,1922,-299,1536,1809,-196,221,3628,995,3988,-1331,2579,2357,1969,151,114,1671,1505,5086,-493,0
273,273,-438,-2927,-3179,-1504,-1785,-2136,96,-2499,-252,-2731,-2155,1547,-3773,-1505,-2410,-2095,-142,-2317,-744,-3284,-221,-956,-3076,0
274,274,2442,-3977,-1531,-1765,-328,2781,-1292,-3069,-3651,-120,694,-2748,534,1705,-1713,-907,-2979,-1507,732,-184,-1193,10,-3741,0
275,275,-12605,-7138,-8784,-9742,-9254,-8094,-11357,-7671,-10467,-7560,-9817,-7525,-10414,-10203,-10449,-3764,-13775,-8378,-8823,-10298,-6975,-12204,-8818,0
276,276,-587,-7017,4422,-5656,-822,292,-1750,-3863,3229,-5522,2173,-1909,-482,-4720,-1980,-822,615,-2186,-2033,-1969,-1976,1366,-2628,0
277,277,-6070,-1427,4018,346,-3641,4237,-7881,5741,-3670,-3970,-2083,1128,-4611,335,-2522,-7483,1026,532,-5782,11900,-8030,-1963,-19717,1
278,278,4762,-2827,611,4698,1497,-2850,7199,-1189,1009,-2,1974,1247,5082,-2321,2106,4778,484,4656,-2663,1536,2422,1854,807,0
279,279,-4717,-11707,-10388,-7573,-9595,-9497,-10434,-6301,-11029,-8173,-8262,-8134,-8823,-8718,-9914,-10005,-6175,-11855,-9307,-8132,-9574,-12467,-8156,0
280,280,-8637,-6432,-353,-13647,-9785,-884,-7464,-7527,-5539,-1481,-10875,-5729,-12262,-1227,-6960,-6046,-9750,-9752,-5295,-1972,-7943,-8275,-6267,0
281,281,1855,-1752,1017,-1777,-459,-2061,2506,-1671,-3251,-2397,5865,-4953,3255,-6936,3742,-1670,-974,939,-2182,1224,-5337,2811,-1116,0
282,282,-1150,577,-6156,-98,1950,-5753,354,962,-5157,-708,-2343,-935,-1347,-3302,332,-1355,-4155,201,389,-5311,426,-396,-2454,0
283,283,336,40,-2141,-733,-674,199,-757,-2356,711,-781,-177,-1438,-318,-798,580,-485,-1027,-2777,126,-2044,293,1890,-1921,0
284,284,5053,2139,6041,3242,4265,4191,3922,4547,3554,3473,4152,4069,4644,3252,5015,3834,3843,4362,3595,4454,4506,3318,4404,0
285,285,16930,-870,11831,-1314,3745,12810,11077,5583,15445,-3466,19774,5816,8543,5374,5004,13929,14483,-8814,22962,-5889,14371,6854,4826,1
286,286,1068,663,822,178,71,1256,-984,1405,557,517,417,-63,1599,-126,1435,-502,758,1430,-481,967,-630,996,508,0
287,287,2068,5293,-3085,-5532,-1794,3545,1044,-5093,-1200,2090,-2916,-4596,1288,-5766,6525,-4995,2736,3576,-1379,-1965,-847,-554,510,1
288,288,311,9983,-10625,4184,1188,-2069,4518,2401,1476,275,1024,-112,5229,-7999,6460,2647,-3757,9304,-8796,3710,2537,3704,8253,0
289,289,-2535,-4508,-2811,-2985,-742,-5191,-511,-1938,-4887,-1449,-5805,228,-7758,3550,-6910,-3819,-1896,-1264,-1108,-3383,-7543,-1284,-51,0
290,290,7851,2562,15342,-14424,23034,-1349,26653,-3973,5747,8734,5675,6009,9867,-2202,11301,7941,2603,8479,2970,10350,13210,4913,-782,1
291,291,-6027,4436,-3641,-3829,3983,1496,-7698,2450,-6269,1412,-90,499,-4600,-424,-3000,5498,-6621,-2444,-570,5839,-8524,6856,-22280,1
292,292,-7231,-10342,-10770,-9995,-11166,-6655,-8565,-14320,-8232,-6149,-10923,-11506,-10012,-11073,-10476,-6864,-13225,-7089,-6853,-14785,-6668,-10929,-8528,1
293,293,5585,-4307,13585,532,-3753,-2874,7903,4745,2669,-1464,1098,2930,1849,-5443,3800,2920,-2198,-1478,3897,7212,-3390,3302,-7919,1
294,294,-2953,702,-3103,-2395,-815,-1964,-801,-1721,-1611,-2546,-1372,810,-3797,-1992,-1530,-2614,-999,-412,-3246,-426,-1774,-2154,-618,0
295,295,-5063,-3351,-911,17,-1410,-1804,-2487,-2488,1168,-4312,-546,-5653,-3939,-6258,4885,-7342,-1264,-1736,-1955,-1688,-1423,-5399,-179,1
296,296,559,13633,621,4359,5882,2889,3860,8424,3487,5340,7492,4165,1220,5459,7454,717,4629,8770,3575,2773,3869,11694,1963,0
297,297,-883,-460,-2918,-4148,-2622,5395,-11856,8668,-1800,-2281,-220,866,-5452,-528,-5088,-337,-4422,193,6532,-4811,782,-2998,-8715,0
298,298,-1289,-1746,1428,-8733,142,-3034,-2264,-804,-4809,-3190,-2808,-1955,-2681,-3677,-2191,-3968,-1286,-3743,-378,-4678,2227,-7710,-2244,0
299,299,-2171,6054,-3605,7280,2191,899,3063,2883,1566,5333,-3171,2568,4640,2538,2099,352,-1,8122,3308,2508,-2310,1710,3438,0
300,300,-1914,3025,-4671,-1462,485,1244,-2923,82,-155,-540,-1865,-327,26,-1772,-96,-636,-468,-1921,957,392,-1402,-3726,2478,0
301,301,-984,-1186,-3465,-926,-248,-3656,-364,-752,-2763,141,-2514,-1007,-2360,-2746,246,-860,-3580,-639,-4,-3977,436,-1098,-2036,0
302,302,-3251,-973,1952,-1771,-345,-179,-1924,1306,-1287,475,-1449,1164,1285,-3509,-158,372,367,-1091,-418,-316,225,1365,-2010,0
303,303,-6870,1220,-862,48,-5774,1860,1025,721,-4294,-1779,-3264,-1661,1643,-2036,-4143,-18,-1377,-2217,-1222,848,30,-5147,2101,0
304,304,180,2416,-458,577,549,-131,829,1928,637,-1289,1726,2574,-2246,1013,2334,-1945,844,1969,173,-609,2612,425,-573,0
305,305,-3785,-706,-1454,-5125,-3886,-1307,-1562,-2635,-3396,-1457,-7157,1980,-4614,-2891,-5211,1148,-3957,-3264,-2094,-1488,-1637,-5812,105,0
306,306,2108,-2841,1938,686,-284,17,150,1119,-82,-2086,1312,5579,-2100,-1184,-1870,1962,2414,-314,-311,1145,-1400,1978,-2127,0
307,307,-5297,-10685,-11416,-5797,-12076,-2185,-3038,-14188,7689,-16069,-10977,4453,-21764,1381,-790,-18650,2838,-4083,-17251,2734,-7154,-19267,2940,0
308,308,-2357,-1487,1241,-2556,780,-2359,-2054,328,-2498,-882,368,-2140,-421,-776,-4617,3687,-1248,-917,3526,-3495,-5777,2842,-1142,1
309,309,-11583,-14473,-14751,-11441,-14818,-13622,-14005,-14050,-12663,-13915,-15655,-12820,-12782,-14539,-13399,-12350,-14099,-11806,-15435,-14646,-12963,-13524,-12429,0
310,310,-1106,-2392,-789,-3238,-620,1252,-3456,-3376,290,-721,-2635,-1543,-407,-2816,89,-2128,-1056,-2613,-1945,-1882,-397,-481,-613,1
311,311,4218,4076,-5698,3026,-1593,1154,5172,3064,-2455,225,244,2238,3276,3595,-5238,1316,4652,-3526,2870,-1377,2080,7480,-5969,0
312,312,-3119,-1447,-2149,-4307,-5127,-1553,-1342,-3595,-3443,-4262,-3235,12,-3706,-5457,-2406,-1725,-4913,-304,-5763,-1714,-4156,-2203,-2745,0
313,313,-3580,-14277,-6513,2719,-11584,-3719,-1476,-8643,-11107,-2688,-9429,-2778,-13276,-3223,-8130,-9425,-3980,-8946,-596,-7042,-8795,-7323,-4773,1
314,314,561,-1287,5485,-5975,-511,-938,144,1746,-4828,-467,2213,-1465,-1900,-8,1417,-2953,-1738,2100,-2311,2016,-2615,-1026,184,0
315,315,2867,-6822,68,6027,-5072,252,4266,-1279,-3261,989,-6421,4961,-7443,1368,-2348,-2569,2901,-4875,3863,-326,-2136,-898,-219,1
316,316,8885,12468,1865,496,4160,11574,1809,4046,4118,9806,1980,6,8159,-1139,11474,3542,4526,10253,3341,4065,7080,4142,8578,1
317,317,2246,-311,-10198,-12,-12394,10386,-2118,-8338,5235,-12155,73,-4992,-3328,-9,-9127,-1518,-4790,9361,-10882,-2594,380,-3727,4812,0
318,318,2393,1218,905,2450,2531,-1608,1991,5475,527,4646,693,-138,3024,816,2732,3500,142,2781,1728,2729,1839,4230,-166,0
319,319,2714,2723,-2355,-9631,-1498,4054,-9030,-4231,-4641,4392,-9218,-3592,-1545,-10139,3955,-1959,-10100,7941,-10647,-851,973,-4143,1272,1
320,320,-9700,-7838,-5778,-12662,-4014,-11962,-7667,-8184,-10271,-4361,-11251,-11692,-6805,-9463,-8038,-9359,-6877,-5510,-11546,-9800,-5904,-6652,-12675,1
321,321,-11228,-5083,-8595,-9767,-7677,-7853,-7348,-6457,-10187,-6506,-7567,-8481,-7669,-9886,-6311,-9911,-7026,-6792,-9802,-5229,-6063,-11125,-5988,1
322,322,-5259,-7860,-7891,-2926,-3456,-7995,-14342,-3590,-7309,-6908,-6982,-6659,-6963,-5982,-15533,-2654,-6229,-2439,-5753,-10285,-2072,-6421,-9479,0
323,323,781,-1971,-2227,-1434,301,-2286,1399,-4916,700,-685,-1695,-1144,-556,-437,1007,255,-707,-2119,-1267,-2187,-2007,649,-181,0
324,324,2602,4178,-1174,-2070,2039,-1265,555,836,1414,-3387,2322,-1238,3206,-1949,1849,987,-492,-827,2752,-708,-3173,7862,-1274,0
325,325,-2398,15410,-16004,-8033,1482,-26140,-4388,-6456,-6532,-5068,7954,11515,3419,-2850,-21531,-9250,-3873,-4281,4381,-14933,-20429,7920,-23027,0
326,326,-3363,5621,-4220,4994,6287,-3647,3201,688,2729,2580,-3227,3730,281,3730,-3328,2131,-943,3113,5575,-2173,1781,3113,-3650,0
327,327,-6328,-1250,649,-5051,2470,-7440,-3876,-2556,-7352,-2510,1126,-5535,-897,-4119,-4382,-848,-2073,-5294,475,-6001,-3530,-1377,-3490,0
328,328,-3493,1557,-4592,-3717,-3778,-1746,-2861,-1998,-2570,-3387,-4881,-2365,-3040,-1997,-5109,-1831,-1633,-2372,-6201,-2838,-1166,-5067,129,0
329,329,3102,-144,-2226,3435,1515,714,1784,1117,1646,755,1532,3354,-3001,2672,1414,1389,-2815,5026,1512,-482,1713,1162,742,0
330,330,-13954,-13046,-14431,-13509,-12200,-14637,-12259,-15219,-12829,-12436,-13831,-15469,-11975,-12414,-14478,-13112,-13994,-12736,-15110,-14968,-10617,-15425,-13694,0
331,331,-2905,-5917,-4024,-3377,-6060,-5831,-3765,-5894,-7127,-4511,-971,-3485,-10078,-1118,-7201,-7349,-8289,-333,-5386,-2922,-6112,-5825,-3293,0
